Date,raw,pctl_10y,flipped_pctl,delta_12m,delta_pctl,zscore_10y,delta_zscore
1936-04-30,18.7,70.58823529411765,29.411764705882348,7.6,93.27731092436974,0.44366374670868824,1.2708608580234153
1936-05-31,17.8,64.70588235294117,35.294117647058826,5.800000000000001,82.35294117647058,0.2866793974272489,0.9381353875194536
1936-06-30,18.4,68.90756302521008,31.09243697478992,5.899999999999999,82.35294117647058,0.3765353485307227,0.9457626078836974
1936-07-31,19.4,73.94957983193278,26.05042016806722,6.199999999999999,85.71428571428571,0.5319347142886125,0.9887708918337372
1936-08-31,19.6,73.94957983193278,26.05042016806722,5.500000000000002,75.63025210084034,0.5553785995086914,0.8580986786023156
1936-09-30,19.9,73.94957983193278,26.05042016806722,5.499999999999998,74.78991596638656,0.5950616110064046,0.8510840930965018
1936-10-31,20.9,74.78991596638656,25.21008403361344,6.099999999999998,83.19327731092437,0.7483351864461855,0.9466790073957919
1936-11-30,21.5,79.83193277310924,20.168067226890756,5.399999999999999,71.42857142857143,0.8341915999248262,0.8164069043279131
1936-12-31,21.1,74.78991596638656,25.21008403361344,4.900000000000002,65.54621848739495,0.7561957183532749,0.7230147548066683
1937-01-31,21.6,79.83193277310924,20.168067226890756,4.5,61.34453781512605,0.8257819166634031,0.6484296238490858
1937-02-28,22.2,84.03361344537815,15.966386554621849,4.099999999999998,56.30252100840336,0.9105143844631273,0.5753685949694738
1937-03-31,22.0,82.35294117647058,17.64705882352942,3.3000000000000007,50.42016806722689,0.8646554496729923,0.43623664253353095
1937-04-30,20.6,69.74789915966386,30.25210084033614,1.9000000000000021,47.89915966386555,0.6261889010008869,0.19618758517289225
1937-05-31,19.5,66.38655462184873,33.61344537815127,1.6999999999999993,47.89915966386555,0.4397660257708882,0.1655401021248036
1937-06-30,18.7,60.50420168067227,39.49579831932773,0.3000000000000007,45.378151260504204,0.30393206504383974,-0.07348805012855555
1937-07-31,19.7,67.22689075630252,32.773109243697476,0.3000000000000007,45.378151260504204,0.4618774857580567,-0.06833724491936975
1937-08-31,19.8,67.22689075630252,32.773109243697476,0.1999999999999993,44.537815126050425,0.47382463283652193,-0.0798427661778665
1937-09-30,16.9,48.739495798319325,51.260504201680675,-3.0,27.73109243697479,0.0013612987689971595,-0.6290870112941037
1937-10-31,14.4,40.33613445378151,59.66386554621849,-6.499999999999998,14.285714285714285,-0.4025484926545577,-1.221212322958747
1937-11-30,13.2,35.294117647058826,64.70588235294117,-8.3,9.243697478991598,-0.5910082214019485,-1.5057860859218581
1937-12-31,13.0,32.773109243697476,67.22689075630252,-8.100000000000001,11.76470588235294,-0.6151267731589234,-1.4434808900482383
1938-01-31,13.5,38.655462184873954,61.344537815126046,-8.100000000000001,11.76470588235294,-0.5261388115561751,-1.4167195533326455
1938-02-28,13.3,37.81512605042017,62.18487394957983,-8.899999999999999,8.403361344537815,-0.5506713180631287,-1.5237158555032768
1938-03-31,12.4,30.252100840336134,69.74789915966386,-9.6,4.201680672268908,-0.686270930346163,-1.6100820399284121
1938-04-30,11.8,26.05042016806723,73.94957983193277,-8.8,10.92436974789916,-0.7708309246869278,-1.4479180443259145
1938-05-31,12.0,26.89075630252101,73.10924369747899,-7.5,15.966386554621847,-0.7256984067983947,-1.2078967985259104
1938-06-30,12.3,30.252100840336134,69.74789915966386,-6.399999999999999,21.008403361344538,-0.6654880580571373,-1.0052090460874457
1938-07-31,14.8,48.739495798319325,51.260504201680675,-4.899999999999999,29.411764705882355,-0.2508947560404461,-0.7386516715166045
1938-08-31,14.9,50.42016806722689,49.57983193277311,-4.9,29.411764705882355,-0.22593225111881385,-0.7258173866225626
1938-09-30,14.3,47.05882352941176,52.94117647058824,-2.599999999999998,42.016806722689076,-0.31366779800664135,-0.3261863317744265
1938-10-31,16.1,55.46218487394958,44.53781512605042,1.700000000000001,62.18487394957983,-0.007715481760535439,0.41356584946071495
1938-11-30,16.2,57.98319327731093,42.01680672268907,3.0,64.70588235294117,0.02127823262835075,0.6451498089272242
1938-12-31,15.8,55.46218487394958,44.53781512605042,2.8000000000000007,64.70588235294117,-0.032594051777254496,0.6194144121333012
1939-01-31,15.6,55.46218487394958,44.53781512605042,2.0999999999999996,63.86554621848739,-0.050917054163252165,0.512182223468158
1939-02-28,15.7,56.30252100840336,43.69747899159664,2.3999999999999986,64.70588235294117,-0.017822617955109376,0.5782605419739474
1939-03-31,15.7,56.30252100840336,43.69747899159664,3.299999999999999,69.74789915966386,-0.00044280135784995485,0.7490191606246203
1939-04-30,13.9,45.378151260504204,54.621848739495796,2.0999999999999996,63.86554621848739,-0.3047089586831898,0.5454450761461287
1939-05-31,14.5,50.42016806722689,49.57983193277311,2.5,66.38655462184873,-0.18023095156999128,0.624825098778829
1939-06-30,14.8,51.26050420168067,48.73949579831933,2.5,66.38655462184873,-0.10725484438289268,0.6360124276493542
1939-07-31,15.3,56.30252100840336,43.69747899159664,0.5,58.82352941176471,0.010223300890632387,0.29119035831542545
1939-08-31,15.1,55.46218487394958,44.53781512605042,0.1999999999999993,55.46218487394958,-0.002205231885616421,0.25496670171344515
1939-09-30,16.5,67.22689075630252,32.773109243697476,2.1999999999999993,67.22689075630252,0.3280657271947684,0.6484068828765251
1939-10-31,16.8,68.90756302521008,31.09243697478992,0.6999999999999993,60.50420168067227,0.43124244040325826,0.3747312285459933
1939-11-30,16.6,68.0672268907563,31.932773109243698,0.40000000000000213,58.82352941176471,0.3981616770176804,0.31110495961147966
1939-12-31,16.3,67.22689075630252,32.773109243697476,0.5,58.82352941176471,0.34481888533050603,0.32416808391781465
1940-01-31,16.4,68.0672268907563,31.932773109243698,0.7999999999999989,60.50420168067227,0.3834312139220962,0.3728778482101073
1940-02-29,16.2,65.54621848739495,34.45378151260505,0.5,57.14285714285714,0.35803781406451235,0.30965471128458494
1940-03-31,16.2,65.54621848739495,34.45378151260505,0.5,56.30252100840336,0.3832112161890393,0.30400146581491716
1940-04-30,16.4,69.74789915966386,30.25210084033614,2.4999999999999982,68.90756302521008,0.4642721802016181,0.6770976152851979
1940-05-31,14.1,47.05882352941176,52.94117647058824,-0.40000000000000036,48.739495798319325,-0.08761730150100056,0.12073821828200883
1940-06-30,12.8,34.45378151260504,65.54621848739495,-2.0,38.655462184873954,-0.40521901440571445,-0.19092519658697582
1940-07-31,13.4,43.69747899159664,56.30252100840336,-1.9000000000000004,39.49579831932773,-0.23600033611525287,-0.1835007285367711
1940-08-31,13.7,46.21848739495798,53.78151260504202,-1.4000000000000004,42.857142857142854,-0.1427668099693422,-0.10269003352099244
1940-09-30,14.2,51.26050420168067,48.73949579831933,-2.3000000000000007,35.294117647058826,0.0056221682240545166,-0.29881485320070156
1940-10-31,14.3,52.10084033613446,47.89915966386554,-2.5,33.61344537815126,0.04158683551512609,-0.35821196355094814
1940-11-30,14.6,56.30252100840336,43.69747899159664,-2.0000000000000018,36.134453781512605,0.1284456205475433,-0.26149544540299646
1940-12-31,13.9,47.89915966386555,52.10084033613445,-2.4000000000000004,32.773109243697476,-0.05692902064590143,-0.3498978829674965
1941-01-31,13.9,47.89915966386555,52.10084033613445,-2.4999999999999982,31.932773109243694,-0.050684716558216665,-0.3768729909610847
1941-02-28,13.0,36.97478991596639,63.02521008403361,-3.1999999999999993,24.369747899159663,-0.28576466502234477,-0.5252794245919852
1941-03-31,13.0,36.97478991596639,63.02521008403361,-3.1999999999999993,23.52941176470588,-0.27470794077102717,-0.5321501002806975
1941-04-30,12.4,32.773109243697476,67.22689075630252,-3.9999999999999982,22.689075630252102,-0.43071254062834774,-0.712322918464465
