,margin_debt,market_cap,ratio,pctl,zscore,delta_12m,delta_pctl
2011-11-30,303930,13101210.0,2.319862058542684,75.28089887640449,0.570358418972775,-0.14675756262141304,10.92436974789916
2011-12-31,301616,13189930.0,2.286714182713631,72.06703910614524,0.4653713369296228,-0.061152192838104025,18.487394957983195
2012-01-31,309844,13839110.0,2.238901201016539,68.33333333333333,0.3178503246989445,-0.16144599851230357,9.243697478991598
2012-02-29,323021,14400510.0,2.2431219449866706,68.50828729281768,0.31639906644047366,-0.23680295637886228,5.88235294117647
2012-03-31,330815,14805550.0,2.234398587016355,67.58241758241759,0.27729925971399216,-0.28603039501294836,5.042016806722689
2012-04-30,335154,14689850.0,2.281534528943454,72.1311475409836,0.4022210905965399,-0.2080984105416115,8.403361344537815
2012-05-31,315147,13740370.0,2.2935845250164295,73.91304347826086,0.4249346852029444,-0.19625798755925716,9.243697478991598
2012-06-30,320952,14258420.0,2.2509646931427185,69.1891891891892,0.28472113816594347,-0.2112137028861114,8.403361344537815
2012-07-31,313525,14370330.0,2.1817522631700177,65.05376344086021,0.0629640721932885,-0.3330524258694765,4.201680672268908
2012-08-31,320395,14680900.0,2.1823934499928477,65.24064171122996,0.05091943586871528,-0.22005328627906895,9.243697478991598
2012-09-30,339159,15044220.0,2.2544139875646594,70.2127659574468,0.2623742427142429,-0.26436643350859423,6.722689075630252
2012-10-31,342325,14773100.0,2.3172184578727553,76.19047619047619,0.44521661804236257,-0.08613471969358333,19.327731092436977
2012-11-30,351441,14848060.0,2.366915273779874,79.47368421052632,0.5888141197209127,0.04705321523718986,42.857142857142854
2012-12-31,355009,14995110.0,2.3674984711682674,79.58115183246073,0.57790037156285,0.08078428845463659,52.94117647058824
2013-01-31,388123,15824320.0,2.452699389294453,86.97916666666666,0.8380095747541813,0.21379818827791386,82.35294117647058
2013-02-28,390351,15993710.0,2.440653231801752,86.01036269430051,0.7851767577910902,0.19753128681508159,79.83193277310924
2013-03-31,403933,16598259.999999998,2.4335864120696993,85.05154639175258,0.748586386769452,0.1991878250533441,80.67226890756302
2013-04-30,408677,16864430.0,2.4233075176569856,83.58974358974359,0.7023120732329822,0.1417729887135315,67.22689075630252
2013-05-31,401606,17212400.0,2.333236503915782,75.51020408163265,0.3905635470007855,0.03965197889935235,42.016806722689076
2013-06-30,407681,16992140.0,2.399232821763474,80.71065989847716,0.5995587673579417,0.14826812862075567,70.58823529411765
2013-07-31,412101,17890610.0,2.303448568830241,71.71717171717171,0.26411604761931773,0.12169630566022338,63.02521008403361
2013-08-31,414442,17352130.0,2.3884214790921923,78.89447236180904,0.5408017286739069,0.2060280290993446,82.35294117647058
2013-09-30,432852,17982430.0,2.4070829137107723,83.5,0.5923585385236828,0.15266892614611294,71.42857142857143
2013-10-31,445022,18711920.0,2.3782807964121266,78.1094527363184,0.47919304038571514,0.061062338539371375,47.05882352941176
2013-11-30,456378,19201960.0,2.37672612587465,77.72277227722772,0.46088655707998366,0.009810852094775946,36.97478991596639
2013-12-31,478502,19706030.0,2.428200911091681,84.23645320197043,0.6322021946932264,0.06070243992341373,47.05882352941176
2014-01-31,487549,19105240.0,2.5519124596184084,95.09803921568627,1.0673094164458332,0.09921307032395532,57.14285714285714
2014-02-28,502093,19946840.0,2.5171555995836936,92.6829268292683,0.9282605591011642,0.07650236778194142,50.42016806722689
2014-03-31,487932,19996010.0,2.440146809288453,85.43689320388349,0.6296727643346989,0.0065603972187537885,33.61344537815126
2014-04-30,475195,19959840.0,2.380755557158775,76.81159420289855,0.39275238992948575,-0.04255196049821075,28.57142857142857
2014-05-31,475362,20348350.0,2.336120619116538,72.11538461538461,0.20784997017137016,0.0028841152007559323,33.61344537815126
2014-06-30,502270,20862740.0,2.407497768749455,82.29665071770334,0.4713723914667116,0.008264946985980792,35.294117647058826
2014-07-31,498671,20410810.0,2.443171045147155,86.66666666666667,0.5999521479323954,0.1397224763169138,67.22689075630252
2014-08-31,501000,21233890.0,2.3594357887320694,72.98578199052133,0.24834585380760094,-0.028985690360122884,30.252100840336134
